WKC,GMN,Doctors,Nurses,Practices,Patients,cluster,Cluster
WK034401,Utrecht,0,0,1,1747.0,0,0
WK034405,Utrecht,0,0,2,0.0,0,0
WK048402,Alphen aan den Rijn,0,1,1,0.0,0,0
WK050312,Delft,1,0,1,0.0,0,0
WK050322,Delft,0,1,1,0.0,0,0
WK051801,'s-Gravenhage,9,12,7,15041.0,1,1
WK051802,'s-Gravenhage,5,3,4,9487.0,0,0
WK051803,'s-Gravenhage,9,12,7,15041.0,1,1
WK051804,'s-Gravenhage,15,12,9,27251.0,1,1
WK051805,'s-Gravenhage,7,5,5,12808.0,0,0
WK051806,'s-Gravenhage,7,5,5,12808.0,0,0
WK051807,'s-Gravenhage,12,3,10,16735.0,0,0
WK051808,'s-Gravenhage,3,1,3,2723.0,0,0
WK051809,'s-Gravenhage,7,1,6,10920.0,0,0
WK051810,'s-Gravenhage,252,14,251,31312.0,2,2
WK051811,'s-Gravenhage,252,14,251,31312.0,2,2
WK051812,'s-Gravenhage,19,22,11,32943.0,3,3
WK051814,'s-Gravenhage,21,22,13,36177.0,3,3
WK051815,'s-Gravenhage,2,0,2,3234.0,0,0
WK051816,'s-Gravenhage,2,0,2,0.0,0,0
WK051817,'s-Gravenhage,20,17,16,66990.0,1,1
WK051818,'s-Gravenhage,3,1,4,7682.0,0,0
WK051819,'s-Gravenhage,7,5,8,12643.0,0,0
WK051820,'s-Gravenhage,14,17,10,33943.0,1,1
WK051821,'s-Gravenhage,5,10,4,15264.0,1,1
WK051822,'s-Gravenhage,3,0,4,6350.0,0,0
WK051823,'s-Gravenhage,0,0,1,0.0,0,0
WK051824,'s-Gravenhage,6,3,2,8848.0,0,0
WK051825,'s-Gravenhage,16,6,8,32747.0,0,0
WK051826,'s-Gravenhage,8,5,7,10240.0,0,0
WK051827,'s-Gravenhage,5,2,5,10790.0,0,0
WK051828,'s-Gravenhage,14,17,8,34481.0,1,1
WK051829,'s-Gravenhage,21,14,11,35454.0,1,1
WK051830,'s-Gravenhage,17,23,10,45792.0,3,3
WK051831,'s-Gravenhage,10,12,8,13463.0,1,1
WK051832,'s-Gravenhage,5,4,6,11072.0,0,0
WK051833,'s-Gravenhage,11,17,12,52002.0,1,1
WK051834,'s-Gravenhage,9,10,7,23282.0,1,1
WK051835,'s-Gravenhage,2,2,2,5194.0,0,0
WK051836,'s-Gravenhage,6,3,6,13302.0,0,0
WK051837,'s-Gravenhage,14,9,4,14564.0,1,1
WK051838,'s-Gravenhage,19,10,11,28388.0,1,1
WK051839,'s-Gravenhage,7,1,5,5027.0,0,0
WK051840,'s-Gravenhage,11,5,5,20678.0,0,0
WK051841,'s-Gravenhage,13,16,13,24230.0,1,1
WK051842,'s-Gravenhage,13,16,13,24230.0,1,1
WK051844,'s-Gravenhage,11,3,3,23801.0,0,0
WK054600,Leiden,3,0,3,0.0,0,0
WK054604,Leiden,1,0,1,0.0,0,0
WK054605,Leiden,4,0,4,0.0,0,0
WK054606,Leiden,1,0,1,0.0,0,0
WK054609,Leiden,1,0,1,0.0,0,0
WK057900,Oegstgeest,3,0,3,0.0,0,0
WK059903,Rotterdam,1,0,1,0.0,0,0
WK059905,Rotterdam,2,0,2,0.0,0,0
WK060301,Rijswijk,3,2,1,5135.0,0,0
WK060302,Rijswijk,14,12,9,26648.0,1,1
WK060303,Rijswijk,1,8,2,9197.0,1,1
WK060304,Rijswijk,5,1,4,9870.0,0,0
WK060305,Rijswijk,1,0,2,0.0,0,0
WK060306,Rijswijk,5,1,4,9870.0,0,0
WK060308,Rijswijk,2,0,1,2314.0,0,0
WK060309,Rijswijk,10,5,5,15566.0,0,0
WK060310,Rijswijk,11,5,7,15566.0,0,0
WK060311,Rijswijk,1,8,2,9197.0,1,1
WK062600,Voorschoten,1,0,1,0.0,0,0
WK062900,Wassenaar,2,3,3,2317.0,0,0
WK062901,Wassenaar,12,14,10,21437.0,1,1
WK063700,Zoetermeer,0,0,1,0.0,0,0
WK063706,Zoetermeer,1,0,1,0.0,0,0
WK093500,Maastricht,0,0,1,4471.0,0,0
WK152500,Teylingen,0,1,1,0.0,0,0
WK152501,Teylingen,0,0,1,0.0,0,0
WK178301,Westland,0,0,1,0.0,0,0
WK188400,Kaag en Braassem,1,0,1,0.0,0,0
WK188401,Kaag en Braassem,1,0,1,0.0,0,0
WK190101,Bodegraven-Reeuwijk,1,0,1,0.0,0,0
WK190102,Bodegraven-Reeuwijk,1,0,1,0.0,0,0
WK190103,Bodegraven-Reeuwijk,1,0,1,0.0,0,0
WK191601,Leidschendam-Voorburg,1,3,2,2769.0,0,0
WK191602,Leidschendam-Voorburg,1,3,1,2769.0,0,0
WK191603,Leidschendam-Voorburg,16,30,12,28177.0,3,3
WK191604,Leidschendam-Voorburg,1,0,1,2402.0,0,0
WK191605,Leidschendam-Voorburg,3,4,2,4630.0,0,0
WK191606,Leidschendam-Voorburg,0,0,1,0.0,0,0
WK191607,Leidschendam-Voorburg,14,26,11,25949.0,3,3
WK191609,Leidschendam-Voorburg,13,17,12,23367.0,1,1
WK191610,Leidschendam-Voorburg,13,17,12,23367.0,1,1
WK191611,Leidschendam-Voorburg,3,0,3,0.0,0,0
WK191612,Leidschendam-Voorburg,1,2,1,4257.0,0,0
WK191613,Leidschendam-Voorburg,6,6,6,13674.0,0,0
